School Year,System Id,System Name,AJC_ATL_metro_ID,School Id,School Name,Grade Configuration,Grade Cluster,CCRPI Score,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points
2012,761,Atlanta Public Schools,Y,0123,Kindezi,"KK, 01, 02, 03, 04",E,82.5,54.8,10.3,NA,0,5.9,5.9
2012,761,Atlanta Public Schools,Y,0373,King Middle School,"06, 07, 08",M,57.8,39.2,9.1,9,0.5,0,0.5
2012,761,Atlanta Public Schools,Y,0212,KIPP Atlanta Collegiate,9,H,79.7,56.7,9.8,11.3,0,1.9,1.9
2012,761,Atlanta Public Schools,Y,0115,Kipp Strive Academy,"05, 06, 07",M,98.1,63.6,11.3,15,0.5,7.7,8.2
2012,761,Atlanta Public Schools,Y,0115,Kipp Strive Academy,"05, 06, 07",E,95.6,62.5,12,13.5,0,7.6,7.6
2012,761,Atlanta Public Schools,Y,0122,KIPP VISION,"05, 06",M,87.5,55.8,11,11.3,0,9.4,9.4
2012,761,Atlanta Public Schools,Y,0122,KIPP VISION,"05, 06",E,62,48.8,7.4,5.3,0.5,0,0.5
2012,761,Atlanta Public Schools,Y,0605,KIPP West Atlanta Young Scholars Academy,"05, 06, 07, 08",M,87.6,54,10.9,14.3,0.5,7.9,8.4
2012,761,Atlanta Public Schools,Y,0605,KIPP West Atlanta Young Scholars Academy,"05, 06, 07, 08",E,64.5,46.6,8.7,6,0,3.2,3.2
2012,761,Atlanta Public Schools,Y,2564,Lin Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,97.2,68,10.4,15,1.5,2.3,3.8
2012,761,Atlanta Public Schools,Y,0173,Long Middle School,"06, 07, 08",M,63.4,44.6,8.5,9,0,1.3,1.3
2012,761,Atlanta Public Schools,Y,4063,M. A. Jones Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,64.7,44.9,8.6,8.3,0,2.9,2.9
2012,761,Atlanta Public Schools,Y,0186,"Maynard H. Jackson, Jr. High School","09, 10, 11, 12",H,55.3,37,7,11.3,0,0,0
2012,761,Atlanta Public Schools,Y,0182,Mays High School,"09, 10, 11, 12",H,63,45.5,7.6,9.4,0,0.5,0.5
2012,761,Atlanta Public Schools,Y,0204,Miles Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,67.7,48.6,7.8,9.8,0.5,1,1.5
2012,761,Atlanta Public Schools,Y,1664,Morningside Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,95.6,66.1,11.7,15,1,1.8,2.8
2012,761,Atlanta Public Schools,Y,0505,Neighborhood Charter School,"KK, 01, 02, 03, 04, 05",E,92.2,63.9,10.6,15,0,2.7,2.7
2012,761,Atlanta Public Schools,Y,0192,North Atlanta High School,"09, 10, 11, 12",H,68,48.1,8.6,11.3,0,0,0
2012,761,Atlanta Public Schools,Y,5664,Parks Middle School,"06, 07, 08",M,66.9,50.1,7.8,7.5,0.5,1,1.5
2012,761,Atlanta Public Schools,Y,0101,Parkside Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,69.4,49.7,9.2,10.5,0,0,0
2012,761,Atlanta Public Schools,Y,0296,Perkerson Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,55.5,35.1,9.4,10.5,0.5,0,0.5
2012,761,Atlanta Public Schools,Y,3065,Peyton Forest Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,65.8,49.4,7.1,6,1.5,1.8,3.3
2012,761,Atlanta Public Schools,Y,0288,Price Middle School,"06, 07, 08",M,55.4,36,7.6,11.3,0.5,0,0.5
2012,761,Atlanta Public Schools,Y,1066,Rivers Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,84,58.8,8.8,11.3,1,4.1,5.1
2012,761,Atlanta Public Schools,Y,0406,School of Health Sciences and Research at Carver,"09, 10, 11, 12",H,63.9,41.2,8.9,11.3,0.5,2,2.5
2012,761,Atlanta Public Schools,Y,0306,School of Technology at Carver,"09, 10, 11, 12",H,54.7,34.8,9.2,7.5,0.5,2.7,3.2
2012,761,Atlanta Public Schools,Y,3566,Scott Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,42.3,29.8,7,4.5,1,0,1
2012,761,Atlanta Public Schools,Y,4066,Slater Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,60.2,41.4,7.8,9,2,0,2
2012,761,Atlanta Public Schools,Y,1567,Smith Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,95.8,68.7,10,15,0.5,1.6,2.1
2012,761,Atlanta Public Schools,Y,0208,South Atlanta Law and Social Justice School,"09, 10, 11, 12",H,62.1,41.6,10.2,8.4,0,1.9,1.9
2012,761,Atlanta Public Schools,Y,0408,South Atlanta School of Computer Animation and Design,"09, 10, 11, 12",H,61.4,38.8,9.5,13.1,0,0,0
2012,761,Atlanta Public Schools,Y,0108,South Atlanta School of Health and Medical Science,"09, 10, 11, 12",H,66.7,42.7,9.9,12.2,0,1.9,1.9
2012,761,Atlanta Public Schools,Y,0116,Springdale Park Elementary School,"PK, KK, 01, 02, 03, 04, 05",E,97.1,69.2,9.5,15,1.5,1.9,3.4
2012,761,Atlanta Public Schools,Y,3067,Sutton Middle School,"06, 07, 08",M,85.9,62,10,11.3,0,2.6,2.6
2012,761,Atlanta Public Schools,Y,0188,Sylvan Hills Middle School,"06, 07, 08",M,66.1,42.7,8.7,11.3,0.5,2.9,3.4
2012,761,Atlanta Public Schools,Y,0205,Tech High School,"09, 10, 11, 12",H,65.3,41.9,9.3,13.1,0,1,1
2012,761,Atlanta Public Schools,Y,1408,The Best Academy at Benjamin S. Carson,"06, 07, 08",M,50.4,38.8,7.1,4.5,0,0,0
2012,761,Atlanta Public Schools,Y,0118,The Best Academy at Benjamin S. Carson High School,"09, 10",H,46.3,32.1,7.9,6.3,0,0,0
2012,761,Atlanta Public Schools,Y,0506,The School of the Arts at Carver,"09, 10, 11, 12",H,67.2,48.3,8.6,7.5,0.5,2.3,2.8
2012,761,Atlanta Public Schools,Y,0608,"Therrell School of Engineering, Math, and Science","09, 10, 11, 12",H,64.9,41.2,9.7,11.3,0.5,2.2,2.7
2012,761,Atlanta Public Schools,Y,0708,Therrell School of Health and Science,"09, 10, 11, 12",H,49.2,33.8,6.4,7.5,0.5,1,1.5
2012,603,Bacon County,N,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,90.1,59.9,10.5,13.5,0,6.2,6.2
2012,693,Lumpkin County,N,ALL,All Schools,"KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,89.2,57.7,11.3,15,0,5.2,5.2
2012,603,Bacon County,N,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,79.9,55.6,9.7,10.5,0,4.1,4.1
2012,603,Bacon County,N,0102,Bacon County Primary School,"PK, KK, 01, 02",E,94.4,65.7,NA,NA,0.5,,0.5
2012,603,Bacon County,N,3050,Bacon County Elementary School,"03, 04, 05",E,90.5,59.8,10.5,13.5,0.5,6.2,6.7
2012,603,Bacon County,N,0302,Bacon County High School,"09, 10, 11, 12",H,80.8,52,10.4,14.1,0,4.3,4.3
2012,603,Bacon County,N,0202,Bacon County Middle School,"06, 07, 08",M,80.4,55.6,9.7,10.5,0.5,4.1,4.6
2012,604,Baker County,N,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,66.6,49.4,8.2,9,0,0,0
2012,604,Baker County,N,ALL,All Schools,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,56.6,36.8,9.3,10.5,0,0,0
2012,773,Decatur City,Y,ALL,All Schools,"KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,88.9,61.4,10.6,15,0,1.9,1.9
2012,604,Baker County,N,0105,Baker County K12 School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,67.1,49.4,8.2,9,0.5,0,0.5
2012,604,Baker County,N,0105,Baker County K12 School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,57.1,36.8,9.3,10.5,0.5,0,0.5
2012,604,Baker County,N,0105,Baker County K12 School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",H,52.1,33.1,10.1,NA,0,1.3,1.3
2012,605,Baldwin County,N,ALL,All Schools,"KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",M,78,53.3,9.5,12,0,3.2,3.2
2012,605,Baldwin County,N,ALL,All Schools,"KK, 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12",E,74.4,51.6,9.6,10.5,0,2.7,2.7
2012,761,Atlanta Public Schools,Y,0508,"Therrell School of Law, Government and Public Policy","09, 10, 11, 12",H,61.3,37.6,9.3,12.2,0,2.2,2.2
2012,605,Baldwin County,N,0104,Eagle Ridge Elementary School,"KK, 01, 02, 03, 04, 05",E,80.6,51.8,10.9,14.3,1,2.6,3.6
2012,605,Baldwin County,N,0100,Oak Hill MS,"06, 07, 08",M,78.5,53.3,9.5,12,0.5,3.2,3.7
